time,head_sea,routine,salinity_lake,salinity_sea,ship_volume_lake_to_sea,ship_volume_sea_to_lake,t_flushing,t_level,t_open_lake,t_open_sea
238120.0,1.6147551,2,1.674740007857143,27.54905673,5438.0,,,,1420.0,
239660.0,1.2190803499999998,3,1.8221703598571428,27.64967646142857,,,,400.0,,
240180.0,1.2190803499999998,4,1.8221703598571428,27.64967646142857,,7137.3,,,,1300.0
241600.0,0.8702939099999999,1,1.908583879,27.70168686,,,,340.0,,
242060.0,0.8702939099999999,2,1.908583879,27.70168686,840.6,,,,1340.0,
243520.0,0.5190598900000001,3,2.050584214,27.766701561428572,,,,320.0,,
243960.0,0.5190598900000001,4,2.050584214,27.766701561428572,,543.7,,,,760.0
244840.0,0.27502205999999996,1,2.0712937968571428,27.795662744285718,,,,300.0,,
245260.0,0.27502205999999996,2,2.0712937968571428,27.795662744285718,6345.1,,,,1800.0,
247180.0,-0.14464207383333333,3,2.2371004647142856,27.859796794285714,,,,240.0,,
247540.0,-0.14464207383333333,4,2.2371004647142856,27.859796794285714,,6192.4,,,,1580.0
249240.0,-0.53898035,1,2.152511835,27.39114571,,,,540.0,,
249900.0,-0.53898035,2,2.152511835,27.39114571,3103.7,,,,980.0,
251000.0,-0.7592023349999999,3,2.083034992285714,27.06721305857143,,,,340.0,,
251460.0,-0.7592023349999999,4,2.083034992285714,27.06721305857143,,7021.2,,,,1360.0
252940.0,-0.9785933083333332,1,1.9729393035714287,26.470091952857143,,,,640.0,,
253700.0,-0.9785933083333332,2,1.9729393035714287,26.470091952857143,7306.6,,,,1560.0,
255380.0,-1.05433855,3,1.9003642285714284,26.13410432142857,,,,360.0,,
255860.0,-1.05433855,4,1.9003642285714284,26.13410432142857,,9347.0,,,,1720.0
257700.0,-0.96412456,1,1.775521125,25.50529180285714,,,,660.0,,
258480.0,-0.96412456,2,1.775521125,25.50529180285714,4141.7,,,,1580.0,
260180.0,-0.6698006400000001,3,1.701201898857143,25.33283315,,,,340.0,,
260640.0,-0.6698006400000001,4,1.701201898857143,25.33283315,,7722.0,,,,1420.0
262180.0,-0.31562453666666673,1,1.631464055285714,25.311996457142858,,,,520.0,,
262820.0,-0.31562453666666673,2,1.631464055285714,25.311996457142858,5884.1,,,,560.0,
263500.0,-0.16256891666666667,3,1.612363935,25.40196991,,,,280.0,,
263900.0,-0.16256891666666667,4,1.612363935,25.40196991,,2166.6,,,,380.0
264400.0,-0.04641698766666666,1,1.6091093334285715,25.56908988714286,,,,240.0,,
264760.0,-0.04641698766666666,2,1.6091093334285715,25.56908988714286,5884.1,,,,2200.0,
267080.0,0.39001033333333335,3,1.6008945870000002,26.094819479999998,,,,320.0,,
267520.0,0.39001033333333335,4,1.6008945870000002,26.094819479999998,,4305.9,,,,1100.0
268740.0,0.77694748,1,1.5774812865714287,26.388898847142855,,,,300.0,,
269160.0,0.77694748,2,1.5774812865714287,26.388898847142855,3301.6,,,,380.0,
269660.0,1.31005165,3,1.5443091054285716,26.792183464285714,,,,1280.0,,
271060.0,1.31005165,4,1.5443091054285716,26.792183464285714,,2181.1,,,,420.0
271600.0,1.5779964666666668,1,1.538061244,26.936271395714286,,,,400.0,,
272120.0,1.5779964666666668,2,1.538061244,26.936271395714286,3301.6,,,,1040.0,
273280.0,1.8604112666666666,3,1.5443613358571429,27.09490993857143,,,,480.0,,
273880.0,1.8604112666666666,4,1.5443613358571429,27.09490993857143,0.0,0.0,,,,360.0
274360.0,1.8604112666666666,-4,1.5443613358571429,27.09490993857143,,,1680.0,,,
276040.0,1.9182224166666668,3,1.512465596,27.28083801,,,,60.0,,
276220.0,1.9182224166666668,4,1.512465596,27.28083801,,1207.3,,,,460.0
276800.0,1.8788569,1,1.4948277298571426,27.350233077142857,,,,460.0,,
277380.0,1.8788569,2,1.4948277298571426,27.350233077142857,515.1,,,,1240.0,
278740.0,1.7774484999999998,3,1.491274067,27.488507137142857,,,,460.0,,
279320.0,1.7774484999999998,4,1.491274067,27.488507137142857,0.0,0.0,,,,320.0
279760.0,1.7774484999999998,-4,1.491274067,27.488507137142857,,,3800.0,,,
283560.0,1.14445515,3,1.4579815184285714,27.73070308,,,,60.0,,
283740.0,1.14445515,4,1.4579815184285714,27.73070308,,6267.9,,,,1980.0
285840.0,0.6535157433333334,1,1.4533898832857142,27.760417395714285,,,,320.0,,
286280.0,0.6535157433333334,2,1.4533898832857142,27.760417395714285,8269.5,,,,2120.0,
288520.0,0.17435220666666668,3,1.760138631,27.797701425714283,,,,280.0,,
288920.0,0.17435220666666668,4,1.760138631,27.797701425714283,,3398.3,,,,1740.0
290780.0,-0.2654430075,1,1.8365431174285713,27.74075917142857,,,,400.0,,
291300.0,-0.2654430075,2,1.8365431174285713,27.74075917142857,1403.2,,,,1040.0,
292460.0,-0.5569182999999999,3,1.8829475807142857,27.481828417142857,,,,320.0,,
292900.0,-0.5569182999999999,4,1.8829475807142857,27.481828417142857,,2358.6,,,,1840.0
294860.0,-1.00059831,1,1.7836562734285712,26.868876052857143,,,,640.0,,
295620.0,-1.00059831,2,1.7836562734285712,26.868876052857143,1860.1,,,,840.0,
296580.0,-1.1909194,3,1.7297471759999998,26.48744965,,,,380.0,,
297080.0,-1.1909194,4,1.7297471759999998,26.48744965,,2347.4,,,,860.0
298060.0,-1.3551286,1,1.6585843735714287,26.082079481428572,,,,700.0,,
298880.0,-1.3551286,2,1.6585843735714287,26.082079481428572,283.8,,,,1080.0,
300080.0,-1.4007165,3,1.597877843,25.653863634285713,,,,400.0,,
300600.0,-1.4007165,4,1.597877843,25.653863634285713,,3982.7,,,,2160.0
302880.0,-1.2380603333333333,1,1.4996307578571428,25.158463884285712,,,,700.0,,
303700.0,-1.2380603333333333,2,1.4996307578571428,25.158463884285712,1305.9,,,,460.0,
